role,date,pass,n_samples,xshape,unique,inputs_sha256,targets_sha256,coverage_mean
train_p250,20160428,True,120,"(120, 20, 128, 128)","['120', '120', '120']",2cfaf35204f1752f26b4e75e027afd94515d545dae0920d03c35e1693ab0c4fc,fb0808f3baee0c2004b48019089e72b43cb2208aef2906fe609fe5161cce5920,0.98443603515625
train_p250,20160523,True,120,"(120, 20, 128, 128)","['120', '120', '120']",3e0229a8fd431206899cd114aa20881c4a30fd227fb12c7d1e37b8c4dd397a5d,689c9f545c4064ad7b28c43260e3bce8fa3d60eeb4dd7ff5c61ef8d1daac8a4f,0.98443603515625
train_p250,20160615,True,120,"(120, 20, 128, 128)","['120', '120', '120']",740b40caffc62dc626bd2c1d0439fbb946dc05e811ff94b09c4a499eb8a0a923,5854f4293bc61ee1aacd34149249d3a20528232b8ea05cafa6f133d998240abe,0.98443603515625
train_p250,20160901,True,120,"(120, 20, 128, 128)","['120', '120', '120']",5483c4751030dc1da413c35c42c95b06a5bb19bffe3a77a2ba79e6c5e1dc436c,cededc417299682c1c61123c548504e3ce02781355f8bf4c6ab7d3450f4f7c88,0.98443603515625
train_p250,20161021,True,120,"(120, 20, 128, 128)","['120', '120', '120']",1f1e8aca84cb8b1a151b5a70c0f77161ea510e01d25d906e57cb821b82b3af9d,60f48c2511f61ffb59e8bfd9a6efe36ddd8b09fb50e1e39603bf1c76d7fa21c5,0.98443603515625
train_p250,20170314,True,120,"(120, 20, 128, 128)","['120', '120', '120']",642e500f13042b6bd16335793b9d00ca5d326e5c4aa913031c3ef5cb92e67ecd,af59f53f2cf711ec0dfee122360f9a8ad72f8c555fb499b1073efd17d565c70e,0.98443603515625
train_p250,20170429,True,120,"(120, 20, 128, 128)","['120', '120', '120']",a37607e9ec108eed3dea5cfb3270362e37d733d9daa81c3676d51e11f7fa13f5,50e270eb3e8a314635e7e6f4637efe181b8b47d4f50e5e0bb55221b55840e7a1,0.98443603515625
train_p250,20170611,True,120,"(120, 20, 128, 128)","['120', '120', '120']",022ae5c9c1b1af7ff455712890d8b77e024e3ddd5c292c42d56da39b64c07f45,a7800e99d3ceb885adfc6ca98998b392e6a77d4a4b075cd6ae74e0701a773389,0.98443603515625
train_p250,20171006,True,120,"(120, 20, 128, 128)","['120', '120', '120']",ed9df9eeccae78671a25066279658f5c8a0e55edac91a412fce8ab30c8063c4a,c0f33d6f18987a1e3b5ca4fe9e3cf7bc4dc203cd4bb1561561ccd82697db2d78,0.98443603515625
train_p250,20171118,True,120,"(120, 20, 128, 128)","['120', '120', '120']",8d013f51ff7846923a4181e3651ab5e6f56596542cb2f8ebf26c08c4a0a35391,5814e6b6f2fa1c9311db46fbd3876e73d1f8f320471dfc7ee362afd6a90c2cd4,0.98443603515625
validation_p1000,20160715,True,120,"(120, 20, 128, 128)","['120', '120', '120']",d42d7f975e239fcc63e7590078c32ae00aaff35619d98159c91d6c9f3450a681,618d52c033e441a8443ac8596e98767da68e6a96bb5585f5297e702ea32b728d,0.98443603515625
validation_p1000,20170517,True,120,"(120, 20, 128, 128)","['120', '120', '120']",87464a10255f85bbda099f78f4d6186e2a07c8a338b6f13352075e08c04c2fe5,c82abdeb0865bd31d166de4b60dcd9e2d0117c0244c60a04174cf624ebbe97d7,0.98443603515625
formal_test_p1000,20160318,True,120,"(120, 20, 128, 128)","['120', '120', '120']",f90cc8e43e68192e674df1de1115330ab96a406232d7d559392514d1f1dc0971,7997dcbb441c33932d9eb304183b8977c3eece41cdeb2cc6adbb3ec1d6c11b1c,0.98443603515625
formal_test_p1000,20160802,True,120,"(120, 20, 128, 128)","['120', '120', '120']",033f978ece41074a3caeff185135ce22fe9bee7d2b32a9bee8a617f1081ac1af,53a862ea15a1b59ae6550f05f860611f34ee2ce707e72ecb6557f71bbdad1a5d,0.98443603515625
formal_test_p1000,20161111,True,120,"(120, 20, 128, 128)","['120', '120', '120']",8f7d9d9a9bc057d8a8914ac6fc59ae36edb19d88e0e3c0121da2156cab3a145a,994cf824ea06e91ba7645c355dd2c22c6698c02d2156b06c44833befb557c5de,0.98443603515625
formal_test_p1000,20170116,True,120,"(120, 20, 128, 128)","['120', '120', '120']",f2da63737fbef0b35f5da4e7d17df83abab661436f2d22e3b46b4b6e9d0d6201,f50ee6351c5a0cb8c4de34f516d472c035ce81c9e552672f9950f957835ba278,0.98443603515625
formal_test_p1000,20170922,True,120,"(120, 20, 128, 128)","['120', '120', '120']",f8b9ef0d228588c7f4c3f00796ed2589ea4ba1e346ce923c9d0afaa7b27c229b,d64763806a97fda7e8b635f9df8d0986caf2d124d987571322e3ebdf6dce1ca3,0.98443603515625
train_p250_merged,all,True,1200,"(1200, 20, 128, 128)","['1200', '1200', '1200']",8a44a5c412b9e16dbea217b02def51409e45194c4f46a9d0a59702a6e4a97189,ea150d262ef2b1b8269e8f29d89bf69c8354e799bf72827cffb6d6ce185a14a5,0.98443603515625
