sim_id,run_time,lati,long,zagl,foot_nc,traj_rds
hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_5dd812d7d263,2016-04-28T20:58:43Z,32.13369,-117.74952,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_5dd812d7d263/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_5dd812d7d263_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_5dd812d7d263/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_5dd812d7d263_traj.rds
hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_a71e025ea5a4,2016-04-28T20:58:43Z,32.08195,-117.73670,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_a71e025ea5a4/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_a71e025ea5a4_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_a71e025ea5a4/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_a71e025ea5a4_traj.rds
hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_bf66756a68f7,2016-04-28T20:58:43Z,32.17061,-117.76071,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_bf66756a68f7/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_bf66756a68f7_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_bf66756a68f7/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205843Z_bf66756a68f7_traj.rds
hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_3f6da26ca26a,2016-04-28T20:58:44Z,32.11887,-117.74780,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_3f6da26ca26a/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_3f6da26ca26a_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_3f6da26ca26a/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_3f6da26ca26a_traj.rds
hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_76c9d3ad1e51,2016-04-28T20:58:44Z,32.18685,-117.76642,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_76c9d3ad1e51/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_76c9d3ad1e51_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_76c9d3ad1e51/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_76c9d3ad1e51_traj.rds
hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_2b3650e5f763,2016-04-28T20:58:44Z,32.13486,-117.75446,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_2b3650e5f763/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_2b3650e5f763_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_2b3650e5f763/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_2b3650e5f763_traj.rds
hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_9584c55fc944,2016-04-28T20:58:44Z,32.22589,-117.77755,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_9584c55fc944/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_9584c55fc944_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_9584c55fc944/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205844Z_9584c55fc944_traj.rds
hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205845Z_42dec6fc557e,2016-04-28T20:58:45Z,32.23172,-117.78058,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205845Z_42dec6fc557e/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205845Z_42dec6fc557e_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205845Z_42dec6fc557e/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205845Z_42dec6fc557e_traj.rds
hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205845Z_4b987274896d,2016-04-28T20:58:45Z,32.19013,-117.77111,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205845Z_4b987274896d/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205845Z_4b987274896d_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205845Z_4b987274896d/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205845Z_4b987274896d_traj.rds
hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205846Z_154a0f96aa59,2016-04-28T20:58:46Z,32.23746,-117.78444,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205846Z_154a0f96aa59/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205846Z_154a0f96aa59_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205846Z_154a0f96aa59/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205846Z_154a0f96aa59_traj.rds
hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205846Z_8dccdd5d76de,2016-04-28T20:58:46Z,32.33652,-117.81123,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205846Z_8dccdd5d76de/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205846Z_8dccdd5d76de_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205846Z_8dccdd5d76de/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205846Z_8dccdd5d76de_traj.rds
hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205847Z_9d84d07e3878,2016-04-28T20:58:47Z,32.34250,-117.81415,5,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205847Z_9d84d07e3878/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205847Z_9d84d07e3878_foot.nc,/mnt/d/lagrangian-jepa-cn/reuse_stilt/server_backup_20260830/stilt/out/by-id/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205847Z_9d84d07e3878/hrrr-analysis-20160428-p250-h24-m2f3ffd5b55cc_20160428T205847Z_9d84d07e3878_traj.rds
