date,file,source_soundings,box_qc0_candidates,overpass_min_hour_utc,overpass_max_hour_utc
2016-01-01,oco2_LtCO2_160101_B11210Ar_240826174351s.nc4,128595,0,,
2016-01-02,oco2_LtCO2_160102_B11210Ar_240826174807s.nc4,157683,0,,
2016-01-03,oco2_LtCO2_160103_B11210Ar_240826174911s.nc4,149345,0,,
2016-01-04,oco2_LtCO2_160104_B11210Ar_240826175344s.nc4,136916,0,,
2016-01-05,oco2_LtCO2_160105_B11210Ar_240826175630s.nc4,152375,0,,
2016-01-06,oco2_LtCO2_160106_B11210Ar_240826175757s.nc4,169081,0,,
2016-01-07,oco2_LtCO2_160107_B11210Ar_240826180243s.nc4,151336,114,20.97,20.98
2016-01-08,oco2_LtCO2_160108_B11210Ar_240826180518s.nc4,127632,0,,
2016-01-09,oco2_LtCO2_160109_B11210Ar_240826180749s.nc4,166389,15,20.79,20.79
2016-01-10,oco2_LtCO2_160110_B11210Ar_240826181037s.nc4,175859,0,,
2016-01-11,oco2_LtCO2_160111_B11210Ar_240826181206s.nc4,155544,0,,
2016-01-12,oco2_LtCO2_160112_B11210Ar_240826181507s.nc4,154281,0,,
2016-01-13,oco2_LtCO2_160113_B11210Ar_240826181940s.nc4,181240,0,,
2016-01-14,oco2_LtCO2_160114_B11210Ar_240826182106s.nc4,154787,130,21.07,21.08
2016-01-15,oco2_LtCO2_160115_B11210Ar_240826182518s.nc4,149565,0,,
2016-01-16,oco2_LtCO2_160116_B11210Ar_240826182753s.nc4,161463,4,20.89,20.9
2016-01-17,oco2_LtCO2_160117_B11210Ar_240826182915s.nc4,183186,0,,
2016-01-18,oco2_LtCO2_160118_B11210Ar_240826183206s.nc4,128767,0,,
2016-01-19,oco2_LtCO2_160119_B11210Ar_240826183508s.nc4,151933,0,,
2016-01-20,oco2_LtCO2_160120_B11210Ar_240826183842s.nc4,174528,0,,
2016-01-21,oco2_LtCO2_160121_B11210Ar_240826184252s.nc4,126740,0,,
2016-01-22,oco2_LtCO2_160122_B11210Ar_240826184541s.nc4,140761,0,,
2016-01-23,oco2_LtCO2_160123_B11210Ar_240826184813s.nc4,175124,0,,
2016-01-24,oco2_LtCO2_160124_B11210Ar_240826185108s.nc4,176370,0,,
2016-01-25,oco2_LtCO2_160125_B11210Ar_240826185240s.nc4,146532,0,,
2016-01-26,oco2_LtCO2_160126_B11210Ar_240826185626s.nc4,140665,0,,
2016-01-27,oco2_LtCO2_160127_B11210Ar_240826185941s.nc4,162909,0,,
2016-01-28,oco2_LtCO2_160128_B11210Ar_240826190158s.nc4,155904,0,,
2016-01-29,oco2_LtCO2_160129_B11210Ar_240826190339s.nc4,155637,0,,
2016-01-30,oco2_LtCO2_160130_B11210Ar_240826190438s.nc4,155425,0,,
2016-01-31,oco2_LtCO2_160131_B11210Ar_240826190507s.nc4,172772,0,,
2016-02-01,oco2_LtCO2_160201_B11210Ar_240826174411s.nc4,154429,0,,
2016-02-02,oco2_LtCO2_160202_B11210Ar_240826174748s.nc4,155587,0,,
2016-02-03,oco2_LtCO2_160203_B11210Ar_240826175036s.nc4,181550,0,,
2016-02-04,oco2_LtCO2_160204_B11210Ar_240826175334s.nc4,173899,0,,
2016-02-05,oco2_LtCO2_160205_B11210Ar_240826175625s.nc4,165914,0,,
2016-02-06,oco2_LtCO2_160206_B11210Ar_240826175946s.nc4,167606,0,,
2016-02-07,oco2_LtCO2_160207_B11210Ar_240826180054s.nc4,184986,0,,
2016-02-08,oco2_LtCO2_160208_B11210Ar_240826180507s.nc4,158346,537,20.97,20.98
2016-02-09,oco2_LtCO2_160209_B11210Ar_240826180629s.nc4,158494,0,,
2016-02-10,oco2_LtCO2_160210_B11210Ar_240826180904s.nc4,171913,0,,
2016-02-11,oco2_LtCO2_160211_B11210Ar_240826181146s.nc4,156342,0,,
2016-02-12,oco2_LtCO2_160212_B11210Ar_240826181602s.nc4,155888,0,,
2016-02-13,oco2_LtCO2_160213_B11210Ar_240826181724s.nc4,148102,0,,
2016-02-14,oco2_LtCO2_160214_B11210Ar_240826182153s.nc4,180135,0,,
2016-02-15,oco2_LtCO2_160215_B11210Ar_240826182432s.nc4,137747,468,21.07,21.08
2016-02-16,oco2_LtCO2_160216_B11210Ar_240826182709s.nc4,145641,0,,
2016-02-17,oco2_LtCO2_160217_B11210Ar_240826182947s.nc4,167713,554,20.88,20.89
2016-02-18,oco2_LtCO2_160218_B11210Ar_240826183234s.nc4,180501,0,,
2016-02-19,oco2_LtCO2_160219_B11210Ar_240826183422s.nc4,149222,0,,
2016-02-20,oco2_LtCO2_160220_B11210Ar_240826183809s.nc4,149679,0,,
2016-02-21,oco2_LtCO2_160221_B11210Ar_240826184224s.nc4,174787,0,,
2016-02-22,oco2_LtCO2_160222_B11210Ar_240826184519s.nc4,147101,0,,
2016-02-23,oco2_LtCO2_160223_B11210Ar_240826184809s.nc4,151718,0,,
2016-02-24,oco2_LtCO2_160224_B11210Ar_240826185046s.nc4,182006,0,,
2016-02-25,oco2_LtCO2_160225_B11210Ar_240826185456s.nc4,183979,0,,
2016-02-26,oco2_LtCO2_160226_B11210Ar_240826185532s.nc4,147469,0,,
2016-02-27,oco2_LtCO2_160227_B11210Ar_240826185859s.nc4,137079,0,,
2016-02-28,oco2_LtCO2_160228_B11210Ar_240826190139s.nc4,184113,0,,
2016-02-29,oco2_LtCO2_160229_B11210Ar_240826190312s.nc4,139489,0,,
2016-03-01,oco2_LtCO2_160301_B11210Ar_240826174503s.nc4,155492,0,,
2016-03-02,oco2_LtCO2_160302_B11210Ar_240826174631s.nc4,163906,0,,
2016-03-03,oco2_LtCO2_160303_B11210Ar_240826174933s.nc4,185132,0,,
2016-03-04,oco2_LtCO2_160304_B11210Ar_240826175217s.nc4,157799,0,,
2016-03-05,oco2_LtCO2_160305_B11210Ar_240826175503s.nc4,150396,0,,
2016-03-06,oco2_LtCO2_160306_B11210Ar_240826175804s.nc4,176097,0,,
2016-03-07,oco2_LtCO2_160307_B11210Ar_240826180125s.nc4,150468,0,,
2016-03-08,oco2_LtCO2_160308_B11210Ar_240826180347s.nc4,145438,0,,
2016-03-09,oco2_LtCO2_160309_B11210Ar_240826180748s.nc4,133197,0,,
2016-03-10,oco2_LtCO2_160310_B11210Ar_240826180912s.nc4,153396,0,,
2016-03-11,oco2_LtCO2_160311_B11210Ar_240826181312s.nc4,140153,409,20.97,20.98
2016-03-12,oco2_LtCO2_160312_B11210Ar_240826181436s.nc4,137232,0,,
2016-03-13,oco2_LtCO2_160313_B11210Ar_240826181807s.nc4,164417,0,,
2016-03-14,oco2_LtCO2_160314_B11210Ar_240826182019s.nc4,166089,0,,
2016-03-15,oco2_LtCO2_160315_B11210Ar_240826182315s.nc4,152277,0,,
2016-03-16,oco2_LtCO2_160316_B11210Ar_240826182550s.nc4,152621,0,,
2016-03-17,oco2_LtCO2_160317_B11210Ar_240826182825s.nc4,170248,0,,
2016-03-18,oco2_LtCO2_160318_B11210Ar_240826183114s.nc4,138145,473,21.08,21.08
2016-03-19,oco2_LtCO2_160319_B11210Ar_240826183701s.nc4,149827,0,,
2016-03-20,oco2_LtCO2_160320_B11210Ar_240826184033s.nc4,176213,178,20.88,20.88
2016-03-21,oco2_LtCO2_160321_B11210Ar_240826184108s.nc4,174165,0,,
2016-03-22,oco2_LtCO2_160322_B11210Ar_240826184422s.nc4,133111,0,,
2016-03-23,oco2_LtCO2_160323_B11210Ar_240826184655s.nc4,145066,0,,
2016-03-24,oco2_LtCO2_160324_B11210Ar_240826184948s.nc4,160261,0,,
2016-03-25,oco2_LtCO2_160325_B11210Ar_240826185408s.nc4,134357,0,,
2016-03-26,oco2_LtCO2_160326_B11210Ar_240826185746s.nc4,135802,0,,
2016-03-27,oco2_LtCO2_160327_B11210Ar_240826185817s.nc4,167150,321,20.98,20.99
2016-03-28,oco2_LtCO2_160328_B11210Ar_240826190116s.nc4,77743,0,,
2016-04-04,oco2_LtCO2_160404_B11210Ar_240826174536s.nc4,111887,0,,
2016-04-05,oco2_LtCO2_160405_B11210Ar_240826174629s.nc4,124223,0,,
2016-04-06,oco2_LtCO2_160406_B11210Ar_240826175103s.nc4,130364,0,,
2016-04-07,oco2_LtCO2_160407_B11210Ar_240826175211s.nc4,147022,0,,
2016-04-08,oco2_LtCO2_160408_B11210Ar_240826175505s.nc4,136026,0,,
2016-04-09,oco2_LtCO2_160409_B11210Ar_240826175933s.nc4,135137,0,,
2016-04-10,oco2_LtCO2_160410_B11210Ar_240826180222s.nc4,148268,0,,
2016-04-11,oco2_LtCO2_160411_B11210Ar_240826180359s.nc4,173125,0,,
2016-04-12,oco2_LtCO2_160412_B11210Ar_240826180638s.nc4,117149,444,20.97,20.98
2016-04-13,oco2_LtCO2_160413_B11210Ar_240826181029s.nc4,131162,0,,
2016-04-14,oco2_LtCO2_160414_B11210Ar_240826181334s.nc4,173494,0,,
2016-04-15,oco2_LtCO2_160415_B11210Ar_240826181640s.nc4,161947,0,,
2016-04-16,oco2_LtCO2_160416_B11210Ar_240826181856s.nc4,143135,0,,
2016-04-17,oco2_LtCO2_160417_B11210Ar_240826182231s.nc4,140477,0,,
2016-04-18,oco2_LtCO2_160418_B11210Ar_240826182357s.nc4,172745,0,,
2016-04-19,oco2_LtCO2_160419_B11210Ar_240826182639s.nc4,140504,404,21.08,21.09
2016-04-20,oco2_LtCO2_160420_B11210Ar_240826183041s.nc4,153623,0,,
2016-04-22,oco2_LtCO2_160422_B11210Ar_240826183612s.nc4,177124,0,,
2016-04-23,oco2_LtCO2_160423_B11210Ar_240826183937s.nc4,135735,0,,
2016-04-24,oco2_LtCO2_160424_B11210Ar_240826184359s.nc4,167481,0,,
2016-04-26,oco2_LtCO2_160426_B11210Ar_240826184934s.nc4,133004,0,,
2016-04-27,oco2_LtCO2_160427_B11210Ar_240826185213s.nc4,144182,0,,
2016-04-28,oco2_LtCO2_160428_B11210Ar_240826185326s.nc4,172903,830,20.98,20.99
2016-04-29,oco2_LtCO2_160429_B11210Ar_240826185654s.nc4,161780,0,,
2016-04-30,oco2_LtCO2_160430_B11210Ar_240826190010s.nc4,153855,0,,
2016-05-01,oco2_LtCO2_160501_B11210Ar_240827153802s.nc4,133979,0,,
2016-05-02,oco2_LtCO2_160502_B11210Ar_240827154155s.nc4,178726,0,,
2016-05-03,oco2_LtCO2_160503_B11210Ar_240827154452s.nc4,133086,0,,
2016-05-04,oco2_LtCO2_160504_B11210Ar_240827154938s.nc4,146353,0,,
2016-05-05,oco2_LtCO2_160505_B11210Ar_240827155258s.nc4,158488,0,,
2016-05-06,oco2_LtCO2_160506_B11210Ar_240827155609s.nc4,166777,0,,
2016-05-07,oco2_LtCO2_160507_B11210Ar_240827155837s.nc4,133174,0,,
2016-05-08,oco2_LtCO2_160508_B11210Ar_240827160110s.nc4,120706,0,,
2016-05-10,oco2_LtCO2_160510_B11210Ar_240827160555s.nc4,137830,0,,
2016-05-11,oco2_LtCO2_160511_B11210Ar_240827160749s.nc4,151873,0,,
2016-05-12,oco2_LtCO2_160512_B11210Ar_240827161043s.nc4,149469,0,,
2016-05-13,oco2_LtCO2_160513_B11210Ar_240827161332s.nc4,194455,0,,
2016-05-14,oco2_LtCO2_160514_B11210Ar_240827161505s.nc4,167589,0,,
2016-05-15,oco2_LtCO2_160515_B11210Ar_240827162014s.nc4,149136,0,,
2016-05-16,oco2_LtCO2_160516_B11210Ar_240827162035s.nc4,175218,0,,
2016-05-23,oco2_LtCO2_160523_B11210Ar_240827164222s.nc4,147317,1039,20.87,20.89
2016-05-24,oco2_LtCO2_160524_B11210Ar_240827164516s.nc4,160064,0,,
2016-05-25,oco2_LtCO2_160525_B11210Ar_240827164613s.nc4,135403,0,,
2016-05-27,oco2_LtCO2_160527_B11210Ar_240827165053s.nc4,169917,0,,
2016-05-28,oco2_LtCO2_160528_B11210Ar_240827165435s.nc4,141498,0,,
2016-05-29,oco2_LtCO2_160529_B11210Ar_240827165609s.nc4,166649,0,,
2016-05-30,oco2_LtCO2_160530_B11210Ar_240827165736s.nc4,172897,0,,
2016-05-31,oco2_LtCO2_160531_B11210Ar_240827170015s.nc4,186137,0,,
2016-06-01,oco2_LtCO2_160601_B11210Ar_240827153822s.nc4,161676,0,,
2016-06-02,oco2_LtCO2_160602_B11210Ar_240827154336s.nc4,137054,0,,
2016-06-03,oco2_LtCO2_160603_B11210Ar_240827154639s.nc4,177231,0,,
2016-06-04,oco2_LtCO2_160604_B11210Ar_240827154822s.nc4,168482,0,,
2016-06-05,oco2_LtCO2_160605_B11210Ar_240827155246s.nc4,146765,0,,
2016-06-06,oco2_LtCO2_160606_B11210Ar_240827155544s.nc4,164952,0,,
2016-06-07,oco2_LtCO2_160607_B11210Ar_240827155713s.nc4,156068,0,,
2016-06-08,oco2_LtCO2_160608_B11210Ar_240827160144s.nc4,126964,0,,
2016-06-09,oco2_LtCO2_160609_B11210Ar_240827160421s.nc4,152234,0,,
2016-06-10,oco2_LtCO2_160610_B11210Ar_240827160624s.nc4,181374,0,,
2016-06-11,oco2_LtCO2_160611_B11210Ar_240827160711s.nc4,144166,0,,
2016-06-12,oco2_LtCO2_160612_B11210Ar_240827161149s.nc4,164905,0,,
2016-06-13,oco2_LtCO2_160613_B11210Ar_240827161435s.nc4,140420,0,,
2016-06-14,oco2_LtCO2_160614_B11210Ar_240827161724s.nc4,173062,0,,
2016-06-15,oco2_LtCO2_160615_B11210Ar_240827161752s.nc4,147117,447,20.97,20.98
2016-06-16,oco2_LtCO2_160616_B11210Ar_240827162137s.nc4,162652,0,,
2016-06-17,oco2_LtCO2_160617_B11210Ar_240827162536s.nc4,186088,0,,
2016-06-18,oco2_LtCO2_160618_B11210Ar_240827162828s.nc4,152543,0,,
2016-06-19,oco2_LtCO2_160619_B11210Ar_240827163122s.nc4,157683,0,,
2016-06-20,oco2_LtCO2_160620_B11210Ar_240827163216s.nc4,141596,0,,
2016-06-21,oco2_LtCO2_160621_B11210Ar_240827163735s.nc4,178001,0,,
2016-06-22,oco2_LtCO2_160622_B11210Ar_240827164056s.nc4,135353,384,21.07,21.08
2016-06-23,oco2_LtCO2_160623_B11210Ar_240827164329s.nc4,154619,0,,
2016-06-24,oco2_LtCO2_160624_B11210Ar_240827164349s.nc4,178783,443,20.87,20.88
2016-06-25,oco2_LtCO2_160625_B11210Ar_240827164638s.nc4,152807,0,,
2016-06-26,oco2_LtCO2_160626_B11210Ar_240827164928s.nc4,165359,0,,
2016-06-27,oco2_LtCO2_160627_B11210Ar_240827165133s.nc4,139450,0,,
2016-06-28,oco2_LtCO2_160628_B11210Ar_240827165218s.nc4,176589,0,,
2016-06-29,oco2_LtCO2_160629_B11210Ar_240827165450s.nc4,143952,0,,
2016-06-30,oco2_LtCO2_160630_B11210Ar_240827165852s.nc4,162525,0,,
2016-07-01,oco2_LtCO2_160701_B11210Ar_240827153936s.nc4,175858,0,,
2016-07-02,oco2_LtCO2_160702_B11210Ar_240827154313s.nc4,181156,0,,
2016-07-03,oco2_LtCO2_160703_B11210Ar_240827154503s.nc4,161834,0,,
2016-07-04,oco2_LtCO2_160704_B11210Ar_240827155000s.nc4,141848,0,,
2016-07-05,oco2_LtCO2_160705_B11210Ar_240827155124s.nc4,168417,0,,
2016-07-06,oco2_LtCO2_160706_B11210Ar_240827155415s.nc4,158288,0,,
2016-07-07,oco2_LtCO2_160707_B11210Ar_240827155901s.nc4,151864,0,,
2016-07-08,oco2_LtCO2_160708_B11210Ar_240827160016s.nc4,177868,3402,21.02,21.11
2016-07-09,oco2_LtCO2_160709_B11210Ar_240827160338s.nc4,195661,0,,
2016-07-10,oco2_LtCO2_160710_B11210Ar_240827160504s.nc4,155968,0,,
2016-07-11,oco2_LtCO2_160711_B11210Ar_240827160910s.nc4,144654,0,,
2016-07-12,oco2_LtCO2_160712_B11210Ar_240827161025s.nc4,186109,0,,
2016-07-13,oco2_LtCO2_160713_B11210Ar_240827161315s.nc4,147442,0,,
2016-07-14,oco2_LtCO2_160714_B11210Ar_240827161632s.nc4,157769,0,,
2016-07-15,oco2_LtCO2_160715_B11210Ar_240827161847s.nc4,164444,1120,21.12,21.21
2016-07-16,oco2_LtCO2_160716_B11210Ar_240827162205s.nc4,172884,0,,
2016-07-17,oco2_LtCO2_160717_B11210Ar_240827162326s.nc4,165222,325,20.96,20.97
2016-07-18,oco2_LtCO2_160718_B11210Ar_240827162756s.nc4,158048,0,,
2016-07-19,oco2_LtCO2_160719_B11210Ar_240827162946s.nc4,189660,0,,
2016-07-20,oco2_LtCO2_160720_B11210Ar_240827163243s.nc4,167317,0,,
2016-07-21,oco2_LtCO2_160721_B11210Ar_240827163827s.nc4,172515,0,,
2016-07-22,oco2_LtCO2_160722_B11210Ar_240827163907s.nc4,160710,0,,
2016-07-23,oco2_LtCO2_160723_B11210Ar_240827164156s.nc4,194355,0,,
2016-07-24,oco2_LtCO2_160724_B11210Ar_240827164451s.nc4,133289,384,21.07,21.07
2016-07-25,oco2_LtCO2_160725_B11210Ar_240827164730s.nc4,166647,0,,
2016-07-26,oco2_LtCO2_160726_B11210Ar_240827164758s.nc4,196557,207,20.86,20.87
2016-07-27,oco2_LtCO2_160727_B11210Ar_240827165009s.nc4,170073,0,,
2016-07-29,oco2_LtCO2_160729_B11210Ar_240827165556s.nc4,145912,0,,
2016-07-30,oco2_LtCO2_160730_B11210Ar_240827165719s.nc4,177251,0,,
2016-07-31,oco2_LtCO2_160731_B11210Ar_240827165911s.nc4,138408,0,,
2016-08-01,oco2_LtCO2_160801_B11210Ar_240827154017s.nc4,168255,0,,
2016-08-02,oco2_LtCO2_160802_B11210Ar_240827154131s.nc4,199278,892,20.96,20.98
2016-08-03,oco2_LtCO2_160803_B11210Ar_240827154618s.nc4,194352,0,,
2016-08-04,oco2_LtCO2_160804_B11210Ar_240827154804s.nc4,166510,0,,
2016-08-05,oco2_LtCO2_160805_B11210Ar_240827155113s.nc4,161053,0,,
2016-08-06,oco2_LtCO2_160806_B11210Ar_240827155434s.nc4,191793,0,,
2016-08-07,oco2_LtCO2_160807_B11210Ar_240827155732s.nc4,165277,698,21.22,21.31
2016-08-08,oco2_LtCO2_160808_B11210Ar_240827155953s.nc4,162285,0,,
2016-08-09,oco2_LtCO2_160809_B11210Ar_240827160216s.nc4,173641,0,,
2016-08-10,oco2_LtCO2_160810_B11210Ar_240827160538s.nc4,32479,0,,
2016-08-21,oco2_LtCO2_160821_B11210Ar_240827160827s.nc4,119699,0,,
2016-08-22,oco2_LtCO2_160822_B11210Ar_240827160920s.nc4,170183,0,,
2016-08-23,oco2_LtCO2_160823_B11210Ar_240827161203s.nc4,182677,0,,
2016-08-24,oco2_LtCO2_160824_B11210Ar_240827161554s.nc4,189197,0,,
2016-08-25,oco2_LtCO2_160825_B11210Ar_240827161911s.nc4,158218,455,21.07,21.07
2016-08-27,oco2_LtCO2_160827_B11210Ar_240827162448s.nc4,201370,0,,
2016-08-28,oco2_LtCO2_160828_B11210Ar_240827162625s.nc4,188537,0,,
2016-08-29,oco2_LtCO2_160829_B11210Ar_240827162925s.nc4,162495,0,,
2016-08-30,oco2_LtCO2_160830_B11210Ar_240827163338s.nc4,170958,0,,
2016-08-31,oco2_LtCO2_160831_B11210Ar_240827163512s.nc4,189717,0,,
2016-09-01,oco2_LtCO2_160901_B11210Ar_240829170325s.nc4,142003,5719,21.12,21.21
2016-09-02,oco2_LtCO2_160902_B11210Ar_240829170639s.nc4,183711,0,,
2016-09-03,oco2_LtCO2_160903_B11210Ar_240829170946s.nc4,181909,671,20.97,20.98
2016-09-04,oco2_LtCO2_160904_B11210Ar_240829171402s.nc4,187457,0,,
2016-09-05,oco2_LtCO2_160905_B11210Ar_240829171625s.nc4,158189,0,,
