region,date,box_candidates,min_hour_utc,max_hour_utc
so_cal_LA_basin,20150102,5212,21.13,21.24
so_cal_LA_basin,20150113,1044,20.89,20.9
so_cal_LA_basin,20150127,4330,21.03,21.13
so_cal_LA_basin,20150205,121,20.99,21.0
so_cal_LA_basin,20150207,256,20.8,20.81
so_cal_LA_basin,20150214,1063,20.89,20.91
so_cal_LA_basin,20150221,203,20.99,20.99
so_cal_LA_basin,20150228,35,21.1,21.1
so_cal_LA_basin,20150307,5071,21.14,21.24
so_cal_LA_basin,20150309,567,20.99,21.01
so_cal_LA_basin,20150318,38,20.9,20.9
so_cal_LA_basin,20150330,5652,21.25,21.36
so_cal_LA_basin,20150401,430,21.09,21.1
so_cal_LA_basin,20150410,172,20.99,21.0
so_cal_LA_basin,20150419,5109,20.84,20.95
so_cal_LA_basin,20150512,323,20.98,20.98
so_cal_LA_basin,20150519,404,21.07,21.09
so_cal_LA_basin,20150528,425,20.98,20.99
so_cal_LA_basin,20150602,6074,21.24,21.35
so_cal_LA_basin,20150606,619,20.88,20.89
so_cal_LA_basin,20150613,77,20.98,20.99
so_cal_LA_basin,20150620,449,21.09,21.09
so_cal_LA_basin,20150704,130,21.24,21.33
so_cal_LA_basin,20150706,295,21.09,21.09
so_cal_LA_basin,20150708,601,20.88,20.89
so_cal_LA_basin,20150715,686,20.98,20.99
so_cal_LA_basin,20150722,2,21.08,21.08
so_cal_LA_basin,20150805,1652,21.23,21.32
so_cal_LA_basin,20150807,362,21.08,21.09
so_cal_LA_basin,20150809,745,20.87,20.89
so_cal_LA_basin,20150816,852,20.98,20.99
so_cal_LA_basin,20150821,132,21.24,21.33
so_cal_LA_basin,20150908,105,21.08,21.09
so_cal_LA_basin,20150910,4,20.89,20.89
so_cal_LA_basin,20150917,4264,20.93,21.02
so_cal_LA_basin,20151010,456,21.07,21.08
so_cal_LA_basin,20151012,372,20.88,20.89
so_cal_LA_basin,20151104,57,20.97,20.97
so_cal_LA_basin,20151111,432,21.07,21.08
so_cal_LA_basin,20151113,786,20.88,20.89
so_cal_LA_basin,20151208,421,20.78,20.79
so_cal_LA_basin,20151215,4783,20.82,20.91
so_cal_LA_basin,20160107,114,20.97,20.98
so_cal_LA_basin,20160109,15,20.79,20.79
so_cal_LA_basin,20160114,130,21.07,21.08
so_cal_LA_basin,20160116,4,20.89,20.9
so_cal_LA_basin,20160208,537,20.97,20.98
so_cal_LA_basin,20160215,468,21.07,21.08
so_cal_LA_basin,20160217,554,20.88,20.89
so_cal_LA_basin,20160311,409,20.97,20.98
so_cal_LA_basin,20160318,473,21.08,21.08
so_cal_LA_basin,20160320,178,20.88,20.88
so_cal_LA_basin,20160327,321,20.98,20.99
so_cal_LA_basin,20160412,444,20.97,20.98
so_cal_LA_basin,20160419,404,21.08,21.09
so_cal_LA_basin,20160428,830,20.98,20.99
so_cal_LA_basin,20160523,1039,20.87,20.89
so_cal_LA_basin,20160615,447,20.97,20.98
so_cal_LA_basin,20160622,384,21.07,21.08
so_cal_LA_basin,20160624,443,20.87,20.88
so_cal_LA_basin,20160708,3402,21.02,21.11
so_cal_LA_basin,20160715,1120,21.12,21.21
so_cal_LA_basin,20160717,325,20.97,20.97
so_cal_LA_basin,20160724,384,21.07,21.07
so_cal_LA_basin,20160726,207,20.86,20.87
so_cal_LA_basin,20160802,892,20.96,20.98
so_cal_LA_basin,20160807,698,21.22,21.31
so_cal_LA_basin,20160825,455,21.07,21.07
so_cal_LA_basin,20160901,5719,21.12,21.21
so_cal_LA_basin,20160903,671,20.97,20.98
so_cal_LA_basin,20160926,227,21.07,21.07
so_cal_LA_basin,20160928,381,20.86,20.87
so_cal_LA_basin,20161005,331,20.97,20.97
so_cal_LA_basin,20161021,508,20.96,20.97
so_cal_LA_basin,20161028,77,21.07,21.07
so_cal_LA_basin,20161030,1,20.89,20.89
so_cal_LA_basin,20161111,6283,21.22,21.32
so_cal_LA_basin,20161122,274,20.97,20.97
so_cal_LA_basin,20161124,465,20.78,20.79
so_cal_LA_basin,20161129,471,21.07,21.08
so_cal_LA_basin,20161201,200,20.88,20.9
so_cal_LA_basin,20161224,111,20.97,20.97
so_cal_LA_basin,20170116,3361,21.02,21.12
so_cal_LA_basin,20170125,420,20.97,20.98
so_cal_LA_basin,20170127,409,20.79,20.79
so_cal_LA_basin,20170201,55,21.07,21.08
so_cal_LA_basin,20170203,43,20.89,20.9
so_cal_LA_basin,20170228,45,20.79,20.79
so_cal_LA_basin,20170305,52,21.08,21.09
so_cal_LA_basin,20170307,451,20.88,20.89
so_cal_LA_basin,20170314,4866,20.93,21.02
so_cal_LA_basin,20170429,6409,21.12,21.22
so_cal_LA_basin,20170501,307,20.97,20.98
so_cal_LA_basin,20170508,218,21.07,21.08
so_cal_LA_basin,20170510,924,20.87,20.88
so_cal_LA_basin,20170517,3039,20.92,21.02
so_cal_LA_basin,20170602,444,20.97,20.98
so_cal_LA_basin,20170609,391,21.07,21.08
so_cal_LA_basin,20170611,774,20.87,20.88
so_cal_LA_basin,20170623,158,21.23,21.32
so_cal_LA_basin,20170625,30,21.03,21.03
so_cal_LA_basin,20170704,405,20.97,20.98
so_cal_LA_basin,20170711,336,21.07,21.08
so_cal_LA_basin,20170713,142,20.87,20.88
